WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,8/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Jabeur O.,Bondarenko K.,31,285,1883,219,5,7,6,3,6,2,2,1,Completed,"1,08",8,"1,1","8,21","1,13","8,5","1,09","7,43"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,8/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Kudermetova V.,Turati B.,46,318,1453,179,6,2,6,1,,,2,0,Completed,"1,05",11,"1,06","11,58","1,08",13,"1,05","9,77"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,8/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Zidansek T.,Fernandez L.A.,87,88,840,838,6,4,6,4,,,2,0,Completed,"2,75","1,4","3,18","1,4","3,3","1,89","2,97","1,4"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,8/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Kenin S.,Flipkens K.,4,86,5760,878,5,7,5,4,,,0,1,Retired,"1,18","4,5","1,18","5,61","1,2","5,75","1,17","4,9"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,8/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Putintseva Y.,Krejcikova B.,28,65,2015,1071,6,4,7,5,,,2,0,Completed,"1,9","1,8","1,89",2,"2,01","2,05","1,84","1,95"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,8/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Sabalenka A.,Tomljanovic A.,10,68,4220,1035,7,5,6,4,,,2,0,Completed,"1,16",5,"1,16","5,97","1,18","6,25","1,16","5,21"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,8/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Sorribes Tormo S.,Pera B.,66,62,1040,1105,5,7,6,3,6,4,2,1,Completed,"1,72",2,"1,63","2,4","1,8","2,4","1,7","2,15"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,8/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Badosa P.,Cornet A.,70,53,1018,1290,6,4,6,4,,,2,0,Completed,2,"1,72","2,22","1,72","2,4","1,73","2,19","1,67"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,9/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Kostyuk M.,Hsieh S.W.,99,67,767,1035,6,3,6,7,6,3,2,1,Completed,"1,5","2,5","1,53","2,66","1,63","2,7","1,52","2,52"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,9/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Rybakina E.,Wang Xiy.,19,123,2696,623,6,4,6,4,,,2,0,Completed,"1,18","4,5","1,23","4,69","1,23","5,34","1,19","4,67"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,9/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Gasanova A.,Pliskova Ka.,292,6,211,5205,6,2,6,4,,,2,0,Completed,8,"1,08","8,14","1,1","8,75","1,11","7,54","1,09"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,9/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Kasatkina D.,Muchova K.,72,27,985,2036,,,,,,,,,Walkover,"2,37","1,53","2,22","1,73","2,4","1,8","2,26","1,64"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,9/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Alexandrova E.,Watson H.,33,58,1775,1156,7,5,6,7,6,3,2,1,Completed,"1,3","3,4","1,32","3,66","1,37","3,84","1,3","3,47"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,9/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Svitolina E.,Zvonareva V.,5,164,5260,440,6,4,6,1,,,2,0,Completed,"1,33","3,25","1,33","3,59","1,36","3,84","1,32","3,38"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,9/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Muguruza G.,Sasnovich A.,15,90,3016,833,6,1,6,4,,,2,0,Completed,"1,33","3,25","1,33","3,57","1,38","3,58","1,33","3,27"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,9/1/2021,WTA500,Outdoor,Hard,2nd Round,3,Sakkari M.,Gauff C.,22,48,2405,1364,7,5,6,2,,,2,0,Completed,"1,57","2,25","1,69","2,28","1,75","2,47","1,63","2,26"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,10/1/2021,WTA500,Outdoor,Hard,3rd Round,3,Kostyuk M.,Zidansek T.,99,87,767,840,6,1,6,1,,,2,0,Completed,"1,57","2,37","1,56","2,61","1,63","2,75","1,55","2,44"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,10/1/2021,WTA500,Outdoor,Hard,3rd Round,3,Sabalenka A.,Jabeur O.,10,31,4220,1883,6,2,6,4,,,2,0,Completed,"1,44","2,75","1,52","2,74","1,53","2,8","1,47","2,68"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,10/1/2021,WTA500,Outdoor,Hard,3rd Round,3,Sorribes Tormo S.,Gasanova A.,66,292,1040,211,7,5,6,3,,,2,0,Completed,"1,33","3,4","1,41","3,15","1,44","3,4","1,37","3,09"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,10/1/2021,WTA500,Outdoor,Hard,3rd Round,3,Rybakina E.,Kasatkina D.,19,72,2696,985,6,3,6,4,,,2,0,Completed,"1,5","2,62","1,58","2,55","1,62","2,7","1,53","2,5"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,10/1/2021,WTA500,Outdoor,Hard,3rd Round,3,Sakkari M.,Muguruza G.,22,15,2405,3016,7,5,6,4,,,2,0,Completed,2,"1,8","2,05","1,86","2,1","1,91","2,01","1,8"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,10/1/2021,WTA500,Outdoor,Hard,3rd Round,3,Kudermetova V.,Badosa P.,46,70,1453,1018,6,4,4,6,6,1,2,1,Completed,"1,44","2,75","1,45",3,"1,49","3,05","1,43","2,82"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,10/1/2021,WTA500,Outdoor,Hard,3rd Round,3,Kenin S.,Putintseva Y.,4,28,5760,2015,3,6,7,6,6,4,2,1,Completed,"1,57","2,37","1,56","2,62","1,65","2,62","1,56","2,42"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,10/1/2021,WTA500,Outdoor,Hard,3rd Round,3,Svitolina E.,Alexandrova E.,5,33,5260,1775,6,2,6,7,7,6,2,1,Completed,"1,44","2,75","1,47","2,9","1,53","2,95","1,47","2,69"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,11/1/2021,WTA500,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Rybakina E.,10,19,4220,2696,6,4,4,6,6,3,2,1,Completed,"1,44","2,75","1,49","2,85","1,5","2,92","1,45","2,76"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,11/1/2021,WTA500,Outdoor,Hard,Quarterfinals,3,Sakkari M.,Kenin S.,22,4,2405,5760,2,6,6,2,6,0,2,1,Completed,"1,57","2,37","1,56","2,6","1,64","2,6","1,58","2,39"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,11/1/2021,WTA500,Outdoor,Hard,Quarterfinals,3,Kostyuk M.,Sorribes Tormo S.,99,66,767,1040,0,6,6,1,6,4,2,1,Completed,"1,5","2,62","1,5","2,79","1,52","2,97","1,47","2,73"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,11/1/2021,WTA500,Outdoor,Hard,Quarterfinals,3,Kudermetova V.,Svitolina E.,46,5,1453,5260,5,7,6,3,7,6,2,1,Completed,"2,37","1,57","2,53","1,59","2,6","1,6","2,47","1,55"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,12/1/2021,WTA500,Outdoor,Hard,Semifinals,3,Sabalenka A.,Sakkari M.,10,22,4220,2405,6,3,6,2,,,2,0,Completed,"1,66","2,2","1,69","2,3","1,72","2,5","1,64","2,26"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,12/1/2021,WTA500,Outdoor,Hard,Semifinals,3,Kudermetova V.,Kostyuk M.,46,99,1453,767,7,6,6,4,,,2,0,Completed,"1,61","2,3","1,74","2,22","1,74","2,55","1,65","2,25"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,13/1/2021,WTA500,Outdoor,Hard,The Final,3,Sabalenka A.,Kudermetova V.,10,46,4220,1453,6,2,6,2,,,2,0,Completed,"1,25",4,"1,27","4,27","1,32","4,27","1,25","3,9"
